,0,1,2,3,4,5,6
0,581661.0,1.0,0.0,0.0,0.0,1.27,1.0
1,581682.0,1.0,0.0,0.0,0.0,1.27,1.0
2,581701.0,1.0,0.0,0.0,0.0,1.27,1.0
3,581722.0,1.0,0.0,0.0,0.0,1.27,1.0
4,581741.0,1.0,0.0,0.0,0.0,1.27,1.0
5,581762.0,1.0,0.0,0.0,0.0,1.27,1.0
6,581781.0,1.0,0.0,0.0,0.0,1.27,1.0
7,581802.0,1.0,0.0,0.0,0.0,1.27,1.0
8,581821.0,1.0,0.0,0.0,0.0,1.27,1.0
9,581842.0,1.0,0.0,0.0,0.0,1.27,1.0
10,581861.0,1.0,0.0,0.0,0.0,1.27,1.0
11,581882.0,1.0,0.0,0.0,0.0,1.27,1.0
12,581901.0,1.0,0.0,0.0,0.0,1.27,1.0
13,581922.0,1.0,0.0,0.0,0.0,1.27,1.0
14,581941.0,1.0,0.0,0.0,0.0,1.27,1.0
15,581962.0,1.0,0.0,0.0,0.0,1.27,1.0
16,581981.0,1.0,0.0,0.0,0.0,1.27,1.0
17,582002.0,1.0,0.0,0.0,0.0,1.27,1.0
18,582022.0,1.0,0.0,0.0,0.0,1.27,1.0
19,582042.0,1.0,0.0,0.0,0.0,1.27,1.0
20,582061.0,1.0,0.0,0.0,0.0,1.27,1.0
21,582082.0,1.0,0.0,0.0,0.0,1.27,1.0
22,582101.0,1.0,0.0,0.0,0.0,1.27,1.0
23,582122.0,1.0,0.0,0.0,0.0,1.27,1.0
24,582141.0,1.0,0.0,0.0,0.0,1.27,1.0
25,582162.0,1.0,0.0,0.0,0.0,1.27,1.0
26,582181.0,1.0,0.0,0.0,0.0,1.27,1.0
27,582202.0,1.0,0.0,0.0,0.0,1.27,1.0
28,582221.0,1.0,0.0,0.0,0.0,1.27,1.0
29,582242.0,1.0,0.0,0.0,0.0,1.27,1.0
30,582261.0,1.0,0.0,0.0,0.0,1.27,1.0
31,582282.0,1.0,0.0,0.0,0.0,1.27,1.0
32,582302.0,1.0,0.0,0.0,0.0,1.27,1.0
33,582324.0,1.0,0.0,0.0,0.0,1.27,1.0
