,0,1,2
0,17.0,10.5,-3.0364242
1,16.862228,10.485457,-3.0364172
2,16.72449,10.470917,-3.0364034
3,16.586823,10.456382,-3.0363827
4,16.449259,10.441855,-3.0363548
5,16.311836,10.42734,-3.0363202
6,16.174587,10.412837,-3.0362782
7,16.037546,10.398352,-3.0362294
8,15.900751,10.383884,-3.0361733
9,15.764234,10.369439,-3.0361097
10,15.628031,10.355019,-3.0360389
11,15.492177,10.340626,-3.0359607
12,15.356706,10.326262,-3.0358746
13,15.221654,10.311932,-3.035781
14,15.087055,10.297636,-3.0356793
15,14.952945,10.283379,-3.0355697
16,14.819358,10.269161,-3.0354517
17,14.686329,10.254989,-3.0353253
18,14.553892,10.240862,-3.03519
19,14.422084,10.226784,-3.035046
20,14.290937,10.212757,-3.034893
21,14.160489,10.198786,-3.0347304
22,14.030773,10.184871,-3.034558
23,13.901825,10.171016,-3.0343757
24,13.773678,10.157224,-3.034183
25,13.646369,10.1434965,-3.0339794
26,13.519931,10.129837,-3.0337648
27,13.394401,10.116249,-3.0335388
28,13.269811,10.102734,-3.0333006
29,13.146198,10.089295,-3.03305
30,13.023597,10.075935,-3.0327864
31,12.902042,10.062656,-3.0325093
32,12.781569,10.049462,-3.0322177
33,12.66221,10.036356,-3.0319116
34,12.5440035,10.023338,-3.0315897
35,12.426982,10.010413,-3.0312517
36,12.311182,9.997583,-3.0308964
37,12.196637,9.984852,-3.030523
38,12.083383,9.972221,-3.0301306
39,11.971454,9.959693,-3.0297182
40,11.860885,9.947271,-3.0292845
41,11.751711,9.934958,-3.0288284
42,11.643967,9.922757,-3.0283487
43,11.537687,9.91067,-3.0278435
44,11.432907,9.8987,-3.0273116
45,11.329662,9.886849,-3.0267508
46,11.227987,9.875121,-3.0261595
47,11.127915,9.863518,-3.0255356
48,11.029484,9.852042,-3.0248768
49,10.932725,9.840697,-3.0241804
50,10.837676,9.829486,-3.0234435
51,10.74437,9.818411,-3.0226634
52,10.652844,9.807474,-3.0218358
53,10.563131,9.796679,-3.0209577
54,10.475266,9.786027,-3.0200243
55,10.389285,9.775522,-3.0190308
56,10.305222,9.765168,-3.017972
57,10.223112,9.754965,-3.0168414
58,10.142989,9.744918,-3.0156322
59,10.06489,9.735028,-3.0143366
60,9.988849,9.725299,-3.0129457
61,9.9149,9.715733,-3.011449
62,9.843078,9.706332,-3.0098348
63,9.773418,9.697101,-3.0080893
64,9.705956,9.68804,-3.0061965
65,9.640726,9.679154,-3.004138
66,9.577763,9.6704445,-3.0018919
67,9.517101,9.661915,-2.9994318
68,9.458777,9.653566,-2.996727
69,9.402824,9.645404,-2.9937398
70,9.3492775,9.637428,-2.9904253
71,9.298172,9.629643,-2.9867272
72,9.249543,9.622052,-2.9825766
73,9.203425,9.614656,-2.9778867
74,9.159853,9.607459,-2.9725468
75,9.118862,9.600463,-2.966414
76,9.080486,9.59367,-2.9592998
77,9.044762,9.587085,-2.9509518
78,9.011722,9.5807085,-2.941023
79,8.981402,9.574545,-2.929023
80,8.953839,9.568596,-2.9142373
81,8.929065,9.562864,-2.8955824
82,8.907116,9.557353,-2.8713381
83,8.888027,9.552065,-2.838605
84,8.871833,9.547002,-2.792118
85,8.858568,9.542168,-2.7213392
86,8.848268,9.537565,-2.6023307
87,8.840967,9.5331955,-2.372174
88,8.8367,9.529063,-1.8692238
89,8.835503,9.52517,-1.0895914
90,8.837409,9.521519,-0.59385705
91,8.842454,9.518113,-0.36693045
92,8.850674,9.514954,-0.2492364
93,8.862101,9.512045,-0.17907883
94,8.876772,9.50939,-0.13292539
95,8.894721,9.5069895,-0.10038854
96,8.915984,9.504848,-0.07626741
97,8.940595,9.502967,-0.057693362
98,8.968589,9.50135,-0.042961765
99,9.0,9.5,0.0
100,9.0,9.5,-0.03102153
101,9.034848,9.498919,-0.021211619
102,9.073087,9.498107,-0.0129934875
103,9.114653,9.497567,-0.0059798756
104,9.159484,9.497299,0.00010138864
105,9.207519,9.497304,0.0054471698
106,9.258694,9.497582,0.01020339
107,9.312946,9.4981365,0.014480524
108,9.370214,9.498965,0.018363757
109,9.430436,9.500072,0.021919861
110,9.493548,9.501455,0.025201928
111,9.559489,9.503118,0.02825273
112,9.628195,9.505059,0.03110713
113,9.699604,9.507281,0.033793848
114,9.773655,9.509785,0.03633678
115,9.850283,9.51257,0.038755994
116,9.929427,9.515639,0.04106848
117,10.011025,9.518992,0.043288738
118,10.095015,9.52263,0.045429245
119,10.181332,9.526554,0.047500808
120,10.269915,9.530766,0.049512852
121,10.3607025,9.535264,0.051473655
122,10.45363,9.540051,0.053390533
123,10.548637,9.545129,0.05527
124,10.64566,9.550497,0.057117883
125,10.7446375,9.556156,0.05893943
126,10.845506,9.562108,0.060739405
127,10.948203,9.568354,0.06252214
128,11.052667,9.574894,0.06429164
129,11.158834,9.581729,0.06605157
130,11.266644,9.5888605,0.06780536
131,11.376032,9.596289,0.06955619
132,11.486937,9.604015,0.0713071
133,11.599296,9.6120405,0.07306093
134,11.713046,9.620366,0.0748204
135,11.828126,9.628993,0.07658812
136,11.944473,9.637921,0.0783666
137,12.062024,9.647152,0.08015829
138,12.1807165,9.656687,0.08196558
139,12.300489,9.666526,0.08379081
140,12.421279,9.676671,0.085636295
141,12.543022,9.687122,0.08750434
142,12.665658,9.697881,0.08939724
143,12.789124,9.708947,0.09131729
144,12.913357,9.720324,0.09326683
145,13.038294,9.73201,0.0952482
146,13.163874,9.744008,0.09726379
147,13.290032,9.756317,0.09931606
148,13.416709,9.76894,0.1014075
149,13.54384,9.781877,0.10354068
150,13.671365,9.795128,0.10571828
151,13.799218,9.808695,0.10794302
152,13.92734,9.822578,0.11021777
153,14.055666,9.83678,0.1125455
154,14.184135,9.8513,0.11492931
155,14.312684,9.866139,0.11737245
156,14.441251,9.881299,0.119878314
157,14.569773,9.89678,0.122450486
158,14.698188,9.912584,0.12509272
159,14.826433,9.928711,0.12780899
160,14.954446,9.945162,0.13060349
161,15.082165,9.961938,0.13348068
162,15.209526,9.979039,0.13644528
163,15.336468,9.996469,0.13950227
164,15.462927,10.014225,0.14265703
165,15.588842,10.0323105,0.14591521
166,15.714151,10.050726,0.1492829
167,15.83879,10.069472,0.1527666
168,15.962698,10.08855,0.15637326
169,16.085812,10.10796,0.16011037
170,16.208067,10.127703,0.16398594
171,16.329405,10.147781,0.16800863
172,16.44976,10.168194,0.17218773
173,16.56907,10.188944,0.17653331
174,16.687277,10.210031,0.18105628
175,16.804314,10.231455,0.18576841
176,16.920118,10.253219,0.1906825
177,17.034628,10.275323,0.19581246
178,17.147783,10.297767,0.20117348
179,17.259518,10.320554,0.20678209
180,17.369772,10.343683,0.21265638
181,17.478483,10.367156,0.21881615
182,17.585588,10.390973,0.22528316
183,17.691023,10.415136,0.23208132
184,17.794727,10.439646,0.23923701
185,17.896639,10.464503,0.24677935
186,17.996695,10.489708,0.25474057
187,18.094831,10.515263,0.26315644
188,18.190987,10.541167,0.27206677
189,18.285099,10.567424,0.2815159
190,18.377106,10.594031,0.29155344
191,18.466946,10.620993,0.30223492
192,18.554552,10.648308,0.31362277
193,18.639868,10.675978,0.32578734
194,18.722826,10.704002,0.33880806
195,18.803368,10.732385,0.35277483
196,18.881428,10.761125,0.36778986
197,18.956944,10.790223,0.38396946
198,19.029856,10.819681,0.4014463
199,19.1001,10.8495,0.0
200,19.1001,10.8495,0.42028013
201,19.16763,10.879679,0.4402286
202,19.232454,10.910216,0.46127132
203,19.294605,10.941107,0.48347697
204,19.354107,10.972348,0.50691694
205,19.41099,11.003936,0.53166485
206,19.46528,11.035868,0.5577958
