,0,1,2
0,17.0,10.5,-2.9334898
1,16.861286,10.470709,-2.9335191
2,16.722607,10.44143,-2.933578
3,16.583998,10.412174,-2.9336665
4,16.445496,10.382954,-2.9337847
5,16.307137,10.35378,-2.9339328
6,16.168953,10.324665,-2.9341109
7,16.030983,10.295621,-2.9343195
8,15.893261,10.266659,-2.9345589
9,15.755823,10.237791,-2.9348295
10,15.618704,10.209029,-2.9351313
11,15.481938,10.180384,-2.9354656
12,15.345564,10.151869,-2.9358323
13,15.209615,10.123494,-2.936232
14,15.074126,10.095272,-2.936666
15,14.939135,10.067215,-2.9371345
16,14.804674,10.039333,-2.9376383
17,14.670781,10.011641,-2.9381785
18,14.537491,9.984147,-2.938756
19,14.404839,9.956865,-2.9393718
20,14.27286,9.929807,-2.940027
21,14.14159,9.902983,-2.9407227
22,14.0110655,9.876406,-2.9414604
23,13.88132,9.850087,-2.9422414
24,13.752391,9.824039,-2.9430673
25,13.624312,9.798273,-2.9439394
26,13.49712,9.7728,-2.94486
27,13.370849,9.747633,-2.9458306
28,13.245536,9.722783,-2.9468534
29,13.121215,9.698262,-2.9479303
30,12.997922,9.674083,-2.949064
31,12.875693,9.650254,-2.950257
32,12.754563,9.626791,-2.951512
33,12.634568,9.6037035,-2.9528322
34,12.515742,9.581004,-2.9542203
35,12.398122,9.558703,-2.9556801
36,12.281743,9.536815,-2.9572153
37,12.16664,9.515348,-2.95883
38,12.052849,9.494317,-2.9605286
39,11.940405,9.473732,-2.962316
40,11.829344,9.453605,-2.9641972
41,11.719701,9.4339485,-2.966178
42,11.611511,9.414773,-2.9682646
43,11.50481,9.396091,-2.9704638
44,11.399634,9.377915,-2.9727826
45,11.296018,9.360255,-2.9752297
46,11.193997,9.343124,-2.9778137
47,11.093607,9.326534,-2.9805446
48,10.994884,9.310496,-2.983433
49,10.8978615,9.295022,-2.9864907
50,10.802577,9.280124,-2.9897313
51,10.7090645,9.265812,-2.9931693
52,10.617361,9.252101,-2.996821
53,10.5275,9.238999,-3.0007045
54,10.439519,9.2265215,-3.0048404
55,10.353453,9.214678,-3.0092516
56,10.269335,9.20348,-3.013964
57,10.187203,9.192941,-3.0190067
58,10.107093,9.18307,-3.0244129
59,10.029038,9.173882,-3.0302203
60,9.953075,9.165386,-3.0364718
61,9.87924,9.157597,-3.0432172
62,9.807567,9.150522,-3.0505137
63,9.738091,9.144177,-3.0584273
64,9.67085,9.138573,-3.0670357
65,9.605878,9.133719,-3.0764291
66,9.54321,9.12963,-3.0867143
67,9.482882,9.126316,-3.0980184
68,9.424929,9.123789,-3.1104925
69,9.369388,9.122061,-3.124319
70,9.316292,9.121143,-3.1397192
71,9.265677,9.121049,3.1262214
72,9.217581,9.121788,3.1067991
73,9.172036,9.123373,3.0847828
74,9.129081,9.125816,3.05965
75,9.088748,9.129128,3.0307362
76,9.051074,9.133323,2.9971905
77,9.016095,9.138409,2.9579108
78,8.983846,9.1444,2.9114614
79,8.954362,9.151307,2.8559644
80,8.927679,9.159143,2.788974
81,8.9038315,9.167919,2.7073617
82,8.882856,9.177647,2.6073055
83,8.864788,9.188337,2.4846156
84,8.849663,9.200003,2.335821
85,8.837516,9.212656,2.1604695
86,8.828382,9.226307,1.9641851
87,8.822296,9.240969,1.7598269
88,8.819296,9.256653,1.5636618
89,8.819415,9.273371,1.3885001
90,8.82269,9.291135,1.2399074
91,8.829155,9.309956,1.1173965
92,8.838846,9.329845,1.0174832
93,8.8518,9.350817,0.9359778
94,8.868051,9.37288,0.86906344
95,8.887633,9.396049,0.81361675
96,8.910584,9.420333,0.76719695
97,8.936938,9.4457445,0.72793025
98,8.966732,9.472297,0.6943839
99,9.0,9.5,0.0
100,9.0,9.5,0.66562384
101,9.036758,9.528861,0.6413197
102,9.076949,9.558867,0.6206981
103,9.120492,9.589999,0.6030393
104,9.167311,9.622238,0.5877973
105,9.217325,9.655567,0.5745512
106,9.270458,9.689966,0.56297237
107,9.326632,9.725416,0.5528005
108,9.385766,9.7619,0.54382724
109,9.447783,9.799399,0.5358842
110,9.512607,9.8378935,0.5288336
111,9.580155,9.877366,0.52256215
112,9.6503525,9.917798,0.5169754
113,9.723121,9.95917,0.5119946
114,9.798379,10.001464,0.50755334
115,9.876052,10.0446615,0.50359535
116,9.9560585,10.088744,0.5000728
117,10.038322,10.133693,0.49694455
118,10.122765,10.179489,0.49417537
119,10.209307,10.226115,0.4917349
120,10.297871,10.273551,0.48959675
121,10.388378,10.32178,0.48773807
122,10.48075,10.370782,0.486139
123,10.574908,10.420539,0.48478216
124,10.670775,10.471033,0.4836525
125,10.768272,10.522244,0.48273677
126,10.867322,10.574155,0.4820235
127,10.967844,10.626747,0.48150268
128,11.069761,10.680001,0.48116562
129,11.172995,10.733898,0.48100477
130,11.277467,10.788422,0.4810137
131,11.3831,10.843551,0.48118684
132,11.489814,10.899268,0.48151955
133,11.597531,10.955556,0.48200798
134,11.706173,11.012394,0.482649
135,11.815662,11.069764,0.4834401
136,11.9259205,11.127648,0.48437953
137,12.036868,11.1860285,0.48546597
138,12.148428,11.2448845,0.48669884
139,12.260521,11.304199,0.488078
140,12.373069,11.363954,0.4896039
141,12.485993,11.424129,0.49127746
142,12.599217,11.484707,0.49310017
143,12.712661,11.545669,0.495074
144,12.826246,11.606996,0.49720144
145,12.939895,11.66867,0.49948555
146,13.053529,11.730673,0.5019299
147,13.167069,11.792985,0.50453854
148,13.280439,11.855589,0.5073162
149,13.3935585,11.918466,0.51026815
150,13.50635,11.981596,0.5134004
151,13.618734,12.044962,0.5167194
152,13.730635,12.108545,0.5202326
153,13.841971,12.172327,0.52394795
154,13.952667,12.236288,0.52787435
155,14.062643,12.300411,0.5320216
156,14.171821,12.364677,0.5364003
157,14.280122,12.429068,0.5410223
158,14.387468,12.493564,0.54590034
159,14.493781,12.558146,0.5510485
160,14.598984,12.622798,0.5564822
161,14.702995,12.6875,0.56221837
162,14.805739,12.7522335,0.56827545
163,14.907138,12.816979,0.5746737
164,15.007111,12.881721,0.5814355
165,15.10558,12.946437,0.5885852
166,15.202469,13.011111,0.5961498
167,15.297698,13.075724,0.6041588
168,15.391189,13.140257,0.612645
169,15.482863,13.204692,0.6216444
170,15.572643,13.26901,0.63119674
171,15.66045,13.333192,0.64134634
172,15.746206,13.397221,0.6521419
173,15.829832,13.461076,0.663638
174,15.91125,13.524741,0.67589486
175,15.990381,13.588196,0.68897974
176,16.067148,13.651423,0.70296776
177,16.141472,13.714403,0.71794266
178,16.213276,13.777119,0.7339982
179,16.282478,13.839549,0.75123906
180,16.349003,13.901678,0.76978284
181,16.412773,13.963486,0.789761
182,16.473707,14.024955,0.8113209
183,16.531729,14.086064,0.83462733
184,16.586758,14.146798,0.8598645
185,16.63872,14.207137,0.8872375
186,16.687532,14.267062,0.9169737
187,16.733118,14.326555,0.94932365
188,16.7754,14.385596,0.9845605
189,16.814299,14.444169,1.0229782
190,16.849737,14.502254,1.0648872
191,16.881636,14.559833,1.1106058
192,16.909916,14.616885,1.1604476
193,16.9345,14.673395,1.2147008
194,16.95531,14.729342,1.2736015
195,16.972267,14.78471,1.3372973
196,16.985292,14.839478,1.4058036
197,16.994308,14.893627,1.4789572
198,16.999237,14.947141,1.5563744
199,17.0,15.0,0.0
200,17.0,15.0,1.6370322
201,16.996538,15.05219,1.7184526
202,16.988874,15.103713,1.7991722
203,16.977053,15.154576,1.8781624
204,16.961115,15.204786,1.9545227
205,16.941103,15.254351,2.027532
206,16.917063,15.303275,2.096673
207,16.889034,15.351567,2.1616275
208,16.857061,15.399234,2.2222571
209,16.821188,15.446281,2.2785678
210,16.781454,15.492716,2.330676
211,16.737906,15.538546,2.378774
212,16.690584,15.583777,2.423101
213,16.639534,15.628417,2.463921
214,16.584795,15.672471,2.5015066
215,16.526411,15.715947,2.5361257
216,16.464428,15.758852,2.568036
217,16.398886,15.801192,2.5974793
218,16.329826,15.842976,2.62468
219,16.257296,15.884207,2.649843
220,16.181335,15.924894,2.6731553
221,16.101988,15.965044,2.6947863
222,16.019297,16.004663,2.714888
223,15.933303,16.04376,2.7335987
224,15.844051,16.082338,2.751041
225,15.751584,16.120407,2.767326
226,15.655945,16.157972,2.7825534
227,15.557175,16.195042,2.7968128
228,15.455318,16.23162,2.8101845
229,15.350418,16.267717,2.8227408
230,15.242517,16.303337,2.8345473
231,15.131658,16.338488,2.8456624
232,15.017882,16.373175,2.8561394
233,14.901235,16.407408,2.8660264
234,14.781757,16.44119,2.875367
235,14.659493,16.474531,2.8842008
236,14.534486,16.507439,2.8925636
237,14.406776,16.539915,2.900488
238,14.276409,16.571972,2.908004
239,14.143427,16.603611,2.9151387
240,14.007873,16.634844,2.921917
241,13.869788,16.665676,2.9283617
242,13.729217,16.696114,2.9344933
243,13.586202,16.726162,2.9403317
244,13.440786,16.75583,2.9458938
245,13.293013,16.785124,2.9511964
246,13.142924,16.81405,2.956254
247,12.990562,16.842617,2.9610808
248,12.835972,16.870829,2.9656892
249,12.679195,16.898695,2.9700913
250,12.520274,16.92622,2.9742978
251,12.359253,16.953413,2.978319
252,12.196174,16.980278,2.9821644
253,12.031078,17.006824,2.9858425
254,11.864012,17.033058,2.9893615
255,11.695016,17.058985,2.992729
256,11.524134,17.084612,2.9959521
257,11.351408,17.109947,2.9990375
258,11.176881,17.134998,3.001991
259,11.000596,17.15977,3.0048187
260,10.822597,17.184267,3.0075257
261,10.642925,17.2085,3.0101173
262,10.461625,17.232475,3.0125978
263,10.278738,17.256199,3.014972
264,10.094307,17.279676,3.0172436
265,9.908377,17.302917,3.0194168
266,9.720987,17.325926,3.0214949
267,9.532185,17.348711,3.0234816
268,9.342009,17.371277,3.02538
269,9.150504,17.393633,3.0271928
270,8.957713,17.415785,3.0289233
271,8.7636795,17.43774,3.0305736
272,8.568445,17.459505,3.0321467
273,8.372053,17.481085,3.0336444
274,8.174546,17.50249,3.0350692
275,7.9759674,17.523722,3.036423
276,7.7763596,17.544792,3.0377076
277,7.575766,17.565706,3.038925
278,7.374229,17.586472,3.0400767
279,7.1717916,17.607092,3.0411644
280,6.968497,17.627577,3.0421896
281,6.7643876,17.647934,3.0431533
282,6.5595064,17.668167,3.0440571
283,6.3538966,17.688286,3.0449018
284,6.147601,17.708296,3.045689
285,5.940662,17.728203,3.0464194
286,5.733123,17.748014,3.0470939
287,5.5250263,17.767738,3.0477133
288,5.3164153,17.78738,3.0482786
289,5.1073327,17.806948,3.0487905
290,4.897821,17.826447,3.0492492
291,4.687924,17.845884,3.0496557
292,4.4776835,17.865267,3.0500102
293,4.2671432,17.884604,3.0503132
294,4.056346,17.903898,3.0505652
295,3.8453338,17.92316,3.0507667
296,3.6341505,17.942394,3.0509174
297,3.4228384,17.961607,3.0510178
298,3.2114406,17.980806,3.051068
299,3.0,18.0,0.0
